square_meters,contract_type_0,contract_type_1,contract_type_2,contract_type_3,contract_type_4,contract_type_5,contract_type_6,availability_year_not_available,availability_year_2024,availability_year_2023,availability_year_2022,availability_instant,availability_year_2015,availability_year_2016,availability_year_2020,availability_year_2025,description,bedrooms,other_rooms,bathrooms,has_security_door,has_tv_system,has_centralized_tv_system,has_optic_fiber,has_video_entryphone,has_electric_gate,has_kitchen_diner,has_open_kitchen,has_half-day_concierge,has_full_day_concierge,has_shared_garden,has_alarm_system,has_partially_furnished,has_kitchen_nook,has_semi-habitable_kitchen,has_disabled_people,has_window_frames,has_window_material_pvc,has_window_material_wood,has_window_material_metal,has_window_type_double,has_window_type_triple,has_exposure_type_internal,has_exposure_type_external,has_exposure_type_double,has_exposure_direction_north,has_exposure_direction_south,has_exposure_direction_east,has_exposure_direction_west,conditions,zone,conditions_imputed,floor,is_mezzanine,is_semi-basement,elevator,energy_class,energy_class_imputed,is_high_efficiency,is_middle_efficiency,is_low_efficiency,condominium_fees,condominium_fees_imputed,latitude,longitude,dist_duomo,dist_scala_theatre,dist_sansiro_stadium,dist_centrale_station,dist_cadorna_station,dist_sforzesco_park,dist_montanelli_park,dist_solari_park,dist_pagano_park,dist_citylife,dist_direzionale,dist_porta_nuova,dist_porta_garibaldi,dist_piazza_affari
120.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",2,1,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,plebisciti - susa,0,2.0,0,0,0,2,0,0,0,1,392.0,0,45.46822355159213,9.222548299659351,2.4319520056593515,2.586178946005357,7.765869161759461,2.3913730044804478,3.6321955237707924,3.646102509761402,1.882754086618464,4.574178114824863,4.811404913243991,5.292271890154225,2.699549977056797,2.957209526241179,3.115897992140936,3.062265053118984
65.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,piave - tricolore,0,1.0,0,0,0,2,0,0,0,1,100.0,0,45.46787442901027,9.207189149496195,1.260741771833218,1.3878339483864837,6.5892156712087155,1.9111888905134244,2.434968570889813,2.4777273180800616,0.900599081848988,3.417405377169753,3.617654976950994,4.119220196942349,2.0188539026976575,2.1037733675819426,2.143748717316727,1.8737608853535888
70.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,carrobbio,0,3.0,0,0,0,5,0,0,1,0,0.0,0,45.4602007,9.181269,0.9404773521503196,1.0351563008865134,4.893821547521769,3.2201263405542764,0.9932033628497168,1.493086677448558,2.130744501970376,1.234255909450774,1.9322376548884996,2.620821238423242,2.968219435813044,2.651093810321118,2.341223823508293,0.5202093962484096
50.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,san siro,0,3.0,0,0,1,7,0,1,0,0,60.0,0,45.4782003,9.123964,5.521209176777242,5.237604657879969,0.006504606549170423,6.207971505392161,4.20130474117329,4.120820655035372,5.9414197991298465,3.988192397051679,3.018023517244367,2.4746501606216884,5.730437419101017,5.257705086781459,4.915689317137547,4.892693771399874
45.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2,porta romana - medaglie d'oro,0,-1.0,1,0,1,2,0,0,0,1,100.0,0,45.4522392,9.202056,1.5480307448451893,1.9689772681422688,6.736884732057485,3.6228369504737223,2.708791165374405,3.073286818507259,2.4457765263085114,2.8856689705551024,3.7741628157971756,4.447717372360822,3.6138012847862475,3.530306794285887,3.397309093872533,1.987056041031659
50.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom",1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,san siro,0,7.0,0,0,1,7,0,1,0,0,100.0,0,45.4782003,9.123964,5.521209176777242,5.237604657879969,0.006504606549170423,6.207971505392161,4.20130474117329,4.120820655035372,5.9414197991298465,3.988192397051679,3.018023517244367,2.4746501606216884,5.730437419101017,5.257705086781459,4.915689317137547,4.892693771399874
94.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,chiesa rossa,0,9.0,0,0,1,1,0,0,0,1,250.0,0,45.4306606,9.1725177,4.023993841297751,4.3091506532424235,6.497581428640774,6.474713801909606,4.196540336631508,4.736504317401259,5.2916091994796695,3.044584626259652,4.478059450363945,5.136254474651677,6.285644746370534,6.0004378018759486,5.695946413644603,3.8696321573047876
50.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,3,bovisa,0,0.0,0,0,1,3,0,0,1,0,160.0,0,45.5022955,9.1653444,4.714873166370882,4.293544359145427,4.197461293795775,3.522484636716628,3.867320005018624,3.34950256283993,4.1288427892236435,4.965511128241086,3.596622699693277,3.103089412706884,3.154653249998882,2.9327145780707284,2.9140414046806753,4.429638722491129
70.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,pezzotti - meda,0,2.0,0,0,1,2,1,0,0,0,200.0,0,45.441109223284855,9.181472931926082,2.693070292701169,3.005450820028227,6.0889559787901355,5.142243080725419,3.056333536925224,3.587874627328945,3.9501044619199135,2.2046652265586086,3.6007560564626244,4.3075306257327375,4.976800477942004,4.721369844918578,4.442784297677074,2.6149189180977435
115.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",2,1,2,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,pagano,0,1.0,0,0,1,2,0,0,0,1,442.0,0,45.4683019,9.161102,2.4443921597747775,2.208118310759823,3.095709296981212,3.749418773543557,1.1594950068659975,1.3048737108558668,3.0990456456331623,1.24239261233477,0.2005575820572811,0.8922065155514544,3.324654801925938,2.8523133115069217,2.4499651311810013,1.8046933787947348
210.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"4 (3 bedrooms, 1 other), 3 bathrooms, kitchen diner",3,1,3,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,duomo,0,4.0,0,0,1,3,0,0,1,0,600.0,0,45.4641385,9.1885548,0.2606399942850796,0.38609425933769975,5.271907202234501,2.5610389489090477,1.08607897458053,1.385138296537048,1.4273973197071097,1.911015052585639,2.2557444878527217,2.8645267523666407,2.3599466815505377,2.1101761653567253,1.866340687472548,0.38745051677086556
45.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,piave - tricolore,0,2.0,0,0,0,5,0,0,1,0,0.0,0,45.46787442901027,9.207189149496195,1.260741771833218,1.3878339483864837,6.5892156712087155,1.9111888905134244,2.434968570889813,2.4777273180800616,0.900599081848988,3.417405377169753,3.617654976950994,4.119220196942349,2.0188539026976575,2.1037733675819426,2.143748717316727,1.8737608853535888
95.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, open kitchen",2,1,2,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,morgagni,1,3.0,0,0,1,2,0,0,0,1,166.0,0,45.478049,9.212456,2.2231195855275883,2.143114973192227,6.899622363274225,1.0515139052288496,3.0435380837334662,2.8687985809443317,1.065610414236432,4.283334647922156,4.115555036386782,4.457349734958232,1.4106687744913522,1.7587524767357912,2.017481556039817,2.701446317433567
60.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, semi-habitable kitchen",1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,martini - insubria,0,2.0,0,0,1,1,0,0,0,1,200.0,0,45.45491426708675,9.220614327406476,2.4663236763949445,2.8114949169696906,7.967489709695982,3.596247020732472,3.7875911478456965,4.006456509904229,2.6811937870136933,4.280659713025737,4.9533294795644345,5.564827275618067,3.777260044120937,3.8850085229201765,3.905296471486955,3.0784252915881316
50.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,ascanio sforza,0,1.0,0,0,0,5,0,0,1,0,0.0,0,45.4434495,9.1761933,2.6121460000181345,2.871999664057196,5.610246546707523,5.053220589556568,2.7658797962070643,3.305134835955739,3.8875674328564975,1.7716092002845225,3.194320757949619,3.8912718174267624,4.84599869366889,4.551612137514652,4.245256307560429,2.4197751626351844
80.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom, open kitchen",2,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,3,chiesa rossa,0,4.0,0,0,1,1,0,0,0,1,200.0,0,45.4306606,9.1725177,4.023993841297751,4.3091506532424235,6.497581428640774,6.474713801909606,4.196540336631508,4.736504317401259,5.2916091994796695,3.044584626259652,4.478059450363945,5.136254474651677,6.285644746370534,6.0004378018759486,5.695946413644603,3.8696321573047876
46.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,missori,0,1.0,0,0,1,4,0,0,1,0,0.0,0,45.4599554,9.1893681,0.5113461482794932,0.8455961543201852,5.486592209037622,2.962236049814279,1.3990643535110414,1.7873405142282006,1.7844911463437185,1.8506597583509263,2.4898452996174383,3.1472905439561973,2.7959412026318926,2.5696831349514153,2.3349625424500093,0.6816511439257408
106.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen nook",2,1,2,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,piave - tricolore,0,4.0,0,0,1,5,0,0,1,0,550.0,0,45.46787442901027,9.207189149496195,1.260741771833218,1.3878339483864837,6.5892156712087155,1.9111888905134244,2.434968570889813,2.4777273180800616,0.900599081848988,3.417405377169753,3.617654976950994,4.119220196942349,2.0188539026976575,2.1037733675819426,2.143748717316727,1.8737608853535888
105.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,"3 (1 bedroom, 2 others), 1 bathroom, open kitchen",1,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2,buenos aires,0,2.0,0,0,1,3,0,0,1,0,0.0,0,45.477891,9.2129012,2.2362873535007095,2.1629409049046964,6.934391738586267,1.0884098557398874,3.0698827083718725,2.8996672630598077,1.090708126211007,4.303605173079591,4.145764396608352,4.490810364263143,1.4494843894223588,1.7972422623614162,2.0545473619919306,2.7208069144775524
80.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom, kitchen diner",2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,cadore,0,4.0,0,0,1,4,0,0,1,0,500.0,0,45.457542,9.2130036,1.8049783687712515,2.1517703640235717,7.311636296030308,3.130527904021552,3.127061794443759,3.347002494341224,2.112139411972506,3.6762165444987254,4.29623892892299,4.90373799649404,3.2536188305769054,3.3116092807900612,3.2985323711219885,2.421052787796681
60.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, kitchen diner",1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,tre castelli - faenza,0,2.0,0,0,0,4,0,0,1,0,150.0,0,45.43872507801258,9.144665859243622,4.64717106993466,4.738665696918096,4.670921035697742,6.854386795555026,4.098088348657278,4.557467936621391,5.842960185886446,2.6758932403825173,3.711622070194385,4.1492479487842,6.52309795758166,6.1123990473023655,5.729164544889167,4.183235801445815
80.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"3 (2 bedrooms, 1 other), 1 bathroom",2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,cenisio,0,6.0,0,0,1,2,0,0,0,1,260.0,0,45.4874537,9.172262,3.005027030406652,2.5842557826785746,3.9052293031934577,2.416517227210316,2.1467831940182975,1.619228578807021,2.6146743527588976,3.352262292283919,2.123040751287775,1.8864298630083747,1.9484798520376467,1.5447252363199926,1.3548560840007189,2.6936589018591808
45.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3,san siro,0,3.0,0,0,0,2,0,0,0,1,200.0,0,45.4782003,9.123964,5.521209176777242,5.237604657879969,0.006504606549170423,6.207971505392161,4.20130474117329,4.120820655035372,5.9414197991298465,3.988192397051679,3.018023517244367,2.4746501606216884,5.730437419101017,5.257705086781459,4.915689317137547,4.892693771399874
50.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,tre castelli - faenza,0,0.0,0,0,0,1,0,0,0,1,50.0,0,45.43872507801258,9.144665859243622,4.64717106993466,4.738665696918096,4.670921035697742,6.854386795555026,4.098088348657278,4.557467936621391,5.842960185886446,2.6758932403825173,3.711622070194385,4.1492479487842,6.52309795758166,6.1123990473023655,5.729164544889167,4.183235801445815
40.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"1 bedroom, 1 bathroom, semi-habitable kitchen",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,cadorna - castello,1,5.0,0,0,1,1,0,0,0,1,58.0,0,45.4683729,9.1773559,1.2252090473456658,0.9434058980803475,4.3026675776940575,2.7109352755153404,0.10815077485951333,0.5397704560475628,1.8765738830903143,1.4920932246119203,1.2970630065125008,1.874065969949788,2.3568647230524666,1.9487914817734184,1.5774623990518462,0.6459413438969926
216.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"5 (3 bedrooms, 2 others), 3 bathrooms, kitchen diner",3,2,3,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,duomo,0,4.0,0,0,1,3,0,0,1,0,600.0,0,45.4641385,9.1885548,0.2606399942850796,0.38609425933769975,5.271907202234501,2.5610389489090477,1.08607897458053,1.385138296537048,1.4273973197071097,1.911015052585639,2.2557444878527217,2.8645267523666407,2.3599466815505377,2.1101761653567253,1.866340687472548,0.38745051677086556
50.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,navigli - darsena,0,2.0,0,0,1,1,0,0,0,1,100.0,0,45.451982882693535,9.177217368858377,1.77643574959937,1.975517804816893,5.070400077115934,4.16873806936465,1.8195556530905226,2.357274958804256,3.0393593893643924,1.0858949008157261,2.3826096513120136,3.0971832561942354,3.932130535813309,3.617372166582362,3.300971606311601,1.4869576630914272
62.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"2 (1 bedroom, 1 other), 1 bathroom, open kitchen",1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,corso san gottardo,0,6.0,0,0,0,5,0,0,1,0,0.0,0,45.4480952,9.1796184,2.0305959406082805,2.29486106885286,5.4774390808523,4.472464726651508,2.26716759620799,2.800337917373149,3.3061028160634964,1.5088630463845765,2.849055375628347,3.562278004030161,4.270648318070154,3.9860694812972297,3.6897181037083815,1.8591823049638063
120.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,"3 (2 bedrooms, 1 other), 2 bathrooms, kitchen diner",2,1,2,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,buenos aires,0,4.0,0,0,1,3,0,0,1,0,300.0,0,45.477891,9.2129012,2.2362873535007095,2.1629409049046964,6.934391738586267,1.0884098557398874,3.0698827083718725,2.8996672630598077,1.090708126211007,4.303605173079591,4.145764396608352,4.490810364263143,1.4494843894223588,1.7972422623614162,2.0545473619919306,2.7208069144775524
